Year Mo Dy     tave     tmax     mxtm     tmin     mntm       vp    rhmax   rhmxtm    rhmin   rhmntm       sr     wrun       pp    st5mx  st5mxtm    st5mn  st5mntm   st15mx st15mxtm   st15mn st15mntm    volts     year     gust   gusttm   gusdir etr_asce
2019  1  1  -13.535  -10.073    14:10  -16.997    23:50    0.153    0.830    05:10    0.595    15:00    5.319   62.924    0.000      ***      ***      ***      ***   -1.803    00:00   -3.195    23:00      *** 2019.000    5.155    08:10      ***    0.324
2019  1  2   -5.791    6.010    14:50  -17.591    04:00    0.209    0.839    04:20    0.216    15:10    7.388   27.234    0.508      ***      ***      ***      ***   -2.941    19:00   -4.802    11:00      *** 2019.000    4.332    11:50      ***    0.521
2019  1  3    1.374   13.444    13:50  -10.696    05:00    0.340    0.836    01:50    0.175    13:30    6.529   28.465    0.000      ***      ***      ***      ***   -1.979    22:00   -4.639    10:00      *** 2019.000    4.096    15:40      ***    0.729
2019  1  4    4.544   15.089    14:40   -6.000    06:00    0.429    0.815    06:00    0.202    14:30    6.202   36.616    0.000      ***      ***      ***      ***   -0.963    23:00   -2.768    10:00      *** 2019.000    4.096    12:30      ***    0.893
2019  1  5    4.465   14.441    12:50   -5.510    06:40    0.399    0.769    06:50    0.184    14:00    5.931   34.283    0.000      ***      ***      ***      ***   -0.350    23:00   -1.401    11:00      *** 2019.000    4.077    12:20      ***    0.867
2019  1  6    6.484   15.185    14:20   -2.216    05:00    0.461    0.717    08:10    0.237    14:20    4.831   68.581    0.000      ***      ***      ***      ***    0.165    23:00   -0.306    00:00      *** 2019.000   12.309    19:50      ***    1.387
2019  1  7    3.951   11.057    13:50   -3.154    07:00    0.296    0.525    07:20    0.208    13:40    6.094  122.475    0.000      ***      ***      ***      ***    0.609    21:00    0.179    00:00      *** 2019.000   13.994    10:10      ***    1.871
2019  1  8    0.073    6.258    14:20   -6.112    07:40    0.305    0.708    07:50    0.287    14:50    6.636   51.050    0.000      ***      ***      ***      ***    0.831    18:00    0.389    14:00      *** 2019.000    6.252    03:10      ***    0.796
2019  1  9   -1.611    4.053    14:20   -7.276    03:10    0.300    0.737    03:40    0.370    14:20    2.967   18.645    0.000      ***      ***      ***      ***    0.628    00:00    0.257    13:00      *** 2019.000    2.587    15:10      ***    0.473
2019  1 10    6.022   13.627    14:30   -1.582    00:30    0.405    0.652    05:00    0.215    14:50    4.900   26.352    0.000      ***      ***      ***      ***    1.104    22:00    0.282    09:00      *** 2019.000    2.842    12:50      ***    0.801
2019  1 11    3.194    5.000    01:50    1.388    20:40    0.548    0.965    09:10    0.463    01:40    1.988   51.174    9.398      ***      ***      ***      ***    2.585    19:00    0.943    04:00      *** 2019.000    4.880    11:10      ***    0.509
2019  1 12    1.587    7.134    14:50   -3.960    23:50    0.469    0.944    05:30    0.426    14:40    6.402   39.916    0.000      ***      ***      ***      ***    3.733    18:00    1.631    11:00      *** 2019.000    4.626    11:40      ***    0.659
2019  1 13   -0.441    6.262    14:30   -7.144    07:10    0.370    0.863    03:30    0.391    15:30    7.559   32.539    0.000      ***      ***      ***      ***    2.717    00:00    1.178    15:00      *** 2019.000    4.665    16:10      ***    0.597
2019  1 14    0.164   10.491    14:50  -10.163    06:30    0.309    0.863    06:10    0.140    15:30    7.844   29.890    0.000      ***      ***      ***      ***    1.265    00:00    0.642    19:00      *** 2019.000    4.155    14:30      ***    0.727
2019  1 15    1.711   11.457    13:30   -8.035    04:30    0.325    0.780    02:40    0.162    13:30    6.478   30.702    0.000      ***      ***      ***      ***    0.648    01:00    0.223    14:00      *** 2019.000    4.038    14:20      ***    0.801
2019  1 16    4.581    9.872    16:00   -0.710    00:00    0.406    0.647    23:50    0.313    14:00    2.900   36.234    0.000      ***      ***      ***      ***    0.506    22:00    0.380    00:00      *** 2019.000    7.507    16:40      ***    0.794
2019  1 17    3.755   10.319    15:10   -2.809    06:30    0.435    0.775    07:30    0.314    14:50    6.135   47.901    0.000      ***      ***      ***      ***    0.519    04:00    0.404    14:00      *** 2019.000    5.410    06:50      ***    0.932
2019  1 18    1.748    6.170    09:50   -2.674    21:50    0.460    0.930    11:30    0.399    23:40    2.385   71.165    0.762      ***      ***      ***      ***    0.618    22:00    0.504    00:00      *** 2019.000   11.701    13:10      ***    0.759
2019  1 19    0.794    7.529    16:10   -5.941    07:20    0.400    0.888    07:50    0.351    15:30    7.043   55.670    0.000      ***      ***      ***      ***    0.627    02:00    0.435    14:00      *** 2019.000    5.998    12:00      ***    0.872
2019  1 20    3.699    9.609    15:10   -2.211    07:30    0.452    0.768    22:40    0.368    10:10    4.871   48.849    0.000      ***      ***      ***      ***    0.545    23:00    0.484    12:00      *** 2019.000    5.253    11:50      ***    0.930
2019  1 21    1.509    8.497    13:00   -5.479    07:10    0.449    0.945    20:50    0.376    13:30    6.090   78.712    0.000      ***      ***      ***      ***    0.563    03:00    0.470    13:00      *** 2019.000   13.426    20:20      ***    1.057
2019  1 22   -2.389    1.306    14:40   -6.083    23:50    0.235    0.613    23:50    0.308    14:20    5.033  128.659    0.000      ***      ***      ***      ***    0.661    22:00    0.545    00:00      *** 2019.000   12.858    02:00      ***    1.274
2019  1 23   -2.238    5.033    15:40   -9.508    05:10    0.277    0.814    06:30    0.257    16:30    5.088   56.479    0.000      ***      ***      ***      ***    0.660    00:00    0.271    15:00      *** 2019.000    6.037    22:30      ***    0.902
2019  1 24   -4.389    0.590    00:00   -9.368    23:30    0.326    0.933    07:50    0.549    00:00    7.394   83.023    2.286      ***      ***      ***      ***    0.388    08:00    0.310    12:00      *** 2019.000   11.936    06:00      ***    0.694
2019  1 25   -4.567    1.970    13:50  -11.104    06:50    0.280    0.914    01:00    0.376    14:30    9.248   67.842    1.524      ***      ***      ***      ***    0.314    00:00    0.016    13:00      *** 2019.000    7.624    12:10      ***    0.795
2019  1 26    0.199    8.491    13:10   -8.092    03:40    0.345    0.838    03:50    0.279    11:40    7.189   77.784    0.000      ***      ***      ***      ***    0.126    00:00   -0.361    12:00      *** 2019.000   13.700    12:20      ***    1.214
2019  1 27    5.772   15.923    12:20   -4.379    07:00    0.433    0.739    07:00    0.205    12:30    6.957   89.758    0.000      ***      ***      ***      ***    0.109    23:00   -0.344    12:00      *** 2019.000   14.680    19:10      ***    1.879
2019  1 28   -2.951    1.979    00:10   -7.881    23:50    0.299    0.845    23:20    0.373    11:00    7.458  130.727    0.000      ***      ***      ***      ***    0.409    23:00    0.147    00:00      *** 2019.000   11.917    08:20      ***    1.143
2019  1 29   -5.122    0.881    13:50  -11.125    06:20    0.253    0.871    06:10    0.342    15:20    9.336   63.677    0.000      ***      ***      ***      ***    0.417    01:00   -0.199    13:00      *** 2019.000    8.056    14:40      ***    0.804
2019  1 30   -3.679    5.610    15:30  -12.967    07:20    0.249    0.851    06:20    0.222    15:30    7.971   43.637    0.000      ***      ***      ***      ***    0.083    00:00   -1.421    11:00      *** 2019.000    5.821    09:10      ***    0.866
2019  1 31    1.366   10.501    15:20   -7.768    06:40    0.315    0.753    06:10    0.183    16:00    8.670   39.929    0.000      ***      ***      ***      ***   -0.156    23:00   -1.033    11:00      *** 2019.000    5.390    11:10      ***    1.033
2019  2  1    3.617   14.232    14:50   -6.999    07:10    0.379    0.769    07:10    0.190    13:40    8.862   36.293    0.000      ***      ***      ***      ***    0.066    23:00   -0.411    12:00      *** 2019.000    5.272    13:40      ***    1.113
2019  2  2    4.365   15.445    14:00   -6.715    07:00    0.409    0.809    07:20    0.173    12:50    8.138   40.951    0.000      ***      ***      ***      ***    0.315    23:00    0.094    00:00      *** 2019.000    5.508    11:50      ***    1.244
2019  2  3    8.895   18.579    12:50   -0.790    23:10    0.447    0.653    04:10    0.134    15:20    8.533   68.630    0.000      ***      ***      ***      ***    2.734    20:00    0.339    00:00      *** 2019.000   12.995    13:00      ***    1.893
2019  2  4    1.934    9.546    06:10   -5.678    23:50    0.352    0.749    23:50    0.257    05:40    7.728   81.477    0.000      ***      ***      ***      ***    3.004    19:00    1.146    12:00      *** 2019.000    8.193    05:40      ***    1.435
2019  2  5   -0.690    5.354    15:20   -6.734    02:50    0.395    0.883    05:50    0.480    15:20    8.384   50.693    0.000      ***      ***      ***      ***    2.772    19:00    1.133    13:00      *** 2019.000    5.978    11:40      ***    0.870
2019  2  6   -9.659   -3.109    00:00  -16.209    23:50    0.252    0.964    03:20    0.752    22:30    1.293   84.136    0.000      ***      ***      ***      ***    2.154    00:00    0.839    23:00      *** 2019.000    6.037    14:40      ***    0.231
2019  2  7  -15.989  -12.617    15:40  -19.361    08:10    0.131    0.844    21:30    0.652    15:30    7.504   66.251    0.000      ***      ***      ***      ***    0.826    00:00    0.555    23:00      *** 2019.000    5.096    06:10      ***    0.378
2019  2  8   -9.802   -0.477    14:20  -19.127    00:50    0.162    0.824    00:00    0.298    13:30    8.724   31.425    4.064      ***      ***      ***      ***    0.535    00:00    0.146    15:00      *** 2019.000    4.116    15:00      ***    0.631
2019  2  9   -5.180    3.925    12:00  -14.285    06:30    0.248    0.857    02:00    0.341    12:00    8.254   51.994    0.000      ***      ***      ***      ***    0.130    00:00   -0.531    12:00      *** 2019.000    5.782    15:40      ***    0.897
2019  2 10   -4.825   -1.248    15:00   -8.403    06:50    0.331    0.935    08:10    0.615    17:30    6.950   62.941    0.000      ***      ***      ***      ***   -0.043    23:00   -0.302    12:00      *** 2019.000    5.919    14:00      ***    0.672
2019  2 11   -3.589    5.271    15:30  -12.449    05:30    0.253    0.936    06:00    0.147    15:30    7.912   56.390    0.000      ***      ***      ***      ***   -0.048    00:00   -1.426    12:00      *** 2019.000   11.799    15:30      ***    1.101
2019  2 12    2.783    9.312    13:30   -3.746    07:10    0.228    0.467    23:40    0.148    13:10    8.944   73.188    0.000      ***      ***      ***      ***   -0.336    23:00   -1.528    11:00      *** 2019.000   11.564    03:30      ***    1.635
2019  2 13    6.673   15.249    14:30   -1.904    06:00    0.320    0.534    06:00    0.123    12:50    9.839  103.179    0.000      ***      ***      ***      ***    0.253    23:00   -0.287    00:00      *** 2019.000   16.621    13:40      ***    2.423
